station_id,city,province
STN_兴隆镇,哈尔滨市,黑龙江省
STN_养马河,成都市,四川省
STN_内乡,南阳市,河南省
STN_内江,内江市,四川省
STN_内江东,内江市,四川省
STN_内江北,内江市,四川省
STN_内江南,内江市,四川省
STN_内黄,安阳市,河南省
STN_册亨,黔西南布依族苗族自治州,贵州省
STN_冕宁,凉山彝族自治州,四川省
STN_冕山,凉山彝族自治州,四川省
STN_军粮城北,天津市,天津市
STN_农垦四团,巴彦淖尔市,内蒙古自治区
STN_农安,长春市,吉林省
STN_冠县,聊城市,山东省
STN_冠朝,吉安市,江西省
STN_冠豸山,龙岩市,福建省
STN_冠豸山南,龙岩市,福建省
STN_冯家山,宝鸡市,陕西省
STN_冯家湾所,重庆市,重庆市
STN_冯屯,齐齐哈尔市,黑龙江省
STN_冷坝,六盘水市,贵州省
STN_冷水,安康市,陕西省
STN_冷水江东,娄底市,湖南省
STN_准东,昌吉回族自治州,新疆维吾尔自治区
STN_准东北,昌吉回族自治州,新疆维吾尔自治区
STN_准格尔,鄂尔多斯市,内蒙古自治区
STN_凉水井,毕节市,贵州省
STN_凉红,凉山彝族自治州,四川省
STN_凉雾,恩施土家族苗族自治州,湖北省
STN_凌村所,南宁市,广西壮族自治区
STN_凌海,锦州市,辽宁省
STN_凌海南,锦州市,辽宁省
STN_凌源,朝阳市,辽宁省
STN_凌源东,朝阳市,辽宁省
STN_凤仪村,楚雄彝族自治州,云南省
STN_凤凰古城,湘西土家族苗族自治州,湖南省
STN_凤凰城,丹东市,辽宁省
STN_凤凰山,六盘水市,贵州省
STN_凤凰机场,三亚市,海南省
STN_凤凰西所,三亚市,海南省
STN_凤县,宝鸡市,陕西省
STN_凤台南,淮南市,安徽省
STN_凤城东,丹东市,辽宁省
STN_凤岭北所,南宁市,广西壮族自治区
STN_凤州,宝鸡市,陕西省
STN_凤翔,宝鸡市,陕西省
STN_凤阁岭,天水市,甘肃省
STN_凤阳,滁州市,安徽省
